date,Onion,Potato,Rice,Wheat
2010-12-27,49.25,19.0,22.0,24.0
2010-12-28,50.0,19.0,22.0,24.0
2010-12-29,50.0,19.0,22.0,24.0
2010-12-30,50.0,19.0,22.0,24.0
2010-12-31,50.0,19.0,22.0,24.0
2011-01-01,50.0,18.25,22.0,24.0
2011-01-02,50.0,17.5,22.0,24.0
2011-01-03,50.0,16.75,22.0,24.0
2011-01-04,50.0,16.0,22.0,24.0
2011-01-05,50.0,16.0,22.0,24.0
2011-01-06,50.0,16.0,22.0,24.0
2011-01-07,50.0,16.0,22.0,24.0
2011-01-08,47.5,15.75,22.0,24.0
2011-01-09,45.0,15.5,22.0,24.0
2011-01-10,42.5,15.25,22.0,24.0
2011-01-11,40.0,15.0,22.0,24.0
2011-01-12,39.0,16.0,22.0,24.0
2011-01-13,38.0,16.0,22.0,24.0
2011-01-14,38.0,16.0,22.0,24.0
2011-01-15,40.0,16.25,22.0,24.0
2011-01-16,42.0,16.5,22.0,24.0
2011-01-17,44.0,16.75,22.0,24.0
2011-01-18,46.0,17.0,22.0,24.0
2011-01-19,44.0,17.0,22.0,24.0
2011-01-20,44.0,17.0,22.0,24.0
2011-01-21,44.0,17.0,22.0,24.0
2011-01-22,43.0,16.5,22.0,24.0
2011-01-23,42.0,16.0,22.0,24.0
2011-01-24,41.0,15.5,22.0,24.0
2011-01-25,40.0,15.0,22.0,24.0
2011-01-26,34.666666666666664,15.0,22.0,24.0
2011-01-27,29.333333333333336,15.0,22.0,24.0
2011-01-28,24.0,15.0,22.0,24.0
2011-01-29,24.25,15.25,22.0,24.0
2011-01-30,24.5,15.5,22.0,24.0
2011-01-31,24.75,15.75,22.0,24.0
2011-02-01,25.0,16.0,22.0,24.0
2011-02-02,23.0,16.0,22.0,24.0
2011-02-03,20.0,16.0,22.0,24.0
2011-02-04,20.0,16.0,22.0,24.0
2011-02-05,19.5,16.0,22.0,24.0
2011-02-06,19.0,16.0,22.0,24.0
2011-02-07,18.5,16.0,22.0,24.0
2011-02-08,18.0,16.0,22.0,24.0
2011-02-09,18.0,15.0,22.0,24.0
2011-02-10,18.0,16.0,22.0,24.0
2011-02-11,14.0,13.0,22.0,24.0
2011-02-12,14.0,12.75,22.0,24.0
2011-02-13,14.0,12.5,22.0,24.0
